raw_line,line_type,source_file
Evrak No :202501457,evrak,lescon    örme usd hs.xls
6.50$+KDV /SUPREM POLY.INTERLOK,price_product,lescon    örme usd hs.xls
Evrak No :202501454,evrak,lescon    örme usd hs.xls
Evrak No :202501475,evrak,lescon    örme usd hs.xls
8.70$+KDV /DOUBLEFA E PAMUK POLY.RAPORLU ELASTAN,price_product,lescon    örme usd hs.xls
Evrak No :202501507,evrak,lescon    örme usd hs.xls
7$+KDV /SCUBA POLY.ELASTAN,price_product,lescon    örme usd hs.xls
Evrak No :202501506,evrak,lescon    örme usd hs.xls
"1.209.554,50 TL/36,6008 16.03.25 VD.ÇEK TAHSİL-FNo:183124",kur_farki,lescon    örme usd hs.xls
"1.209.554,50 TL/37,9833 21.03.25 VD.ÇEK TAHSİL-FNo:183178",kur_farki,lescon    örme usd hs.xls
"82.453,74 TL/36,6008 16.03.25 VD.ÇEK FARKI-FNo:183184",kur_farki,lescon    örme usd hs.xls
"1.211.252,33 TL/37,9769 26.03.25 VD.ÇEK TAHSİL-FNo:183208",kur_farki,lescon    örme usd hs.xls
Evrak No :202501794,evrak,lescon    örme usd hs.xls
"131.255,99 TL/37,9833 21.03.25 VD.ÇEK FARKI-FNo:183230",kur_farki,lescon    örme usd hs.xls
"131.214 TL/37,9769 26.03.25 VD.ÇEK FARKI-FNo:183230",kur_farki,lescon    örme usd hs.xls
Evrak No :202501847,evrak,lescon    örme usd hs.xls
8.50$+KDV /SCUBA PENYE COMP.ELASTAN,price_product,lescon    örme usd hs.xls
Evrak No :202501830,evrak,lescon    örme usd hs.xls
6.50$+KDV SUPREM POLY.INTERLOK,diger,lescon    örme usd hs.xls
Evrak No :202501823,evrak,lescon    örme usd hs.xls
6.50$+KDV /INTERLOK POLY.,price_product,lescon    örme usd hs.xls
Evrak No :202501822,evrak,lescon    örme usd hs.xls
Evrak No :202501860,evrak,lescon    örme usd hs.xls
Evrak No :202501854,evrak,lescon    örme usd hs.xls
Evrak No :202501853,evrak,lescon    örme usd hs.xls
Evrak No :202501852,evrak,lescon    örme usd hs.xls
7.50$+KDV /SCUBA INCE POLY.ELASTAN,price_product,lescon    örme usd hs.xls
Evrak No :202501880,evrak,lescon    örme usd hs.xls
7.70$+KDV /SCUBA POLY.ELASTAN PIKE,price_product,lescon    örme usd hs.xls
Evrak No :202501879,evrak,lescon    örme usd hs.xls
Evrak No :202501878,evrak,lescon    örme usd hs.xls
Evrak No :202501869,evrak,lescon    örme usd hs.xls
Evrak No :202501928,evrak,lescon    örme usd hs.xls
7$+KDV /SCUBA POLY.ELASTAN PIKE,price_product,lescon    örme usd hs.xls
Evrak No :202500077,evrak,lescon    örme usd hs.xls
6.50$+KDV /POLY.RAPORLU PIKE ELASTAN PFD,price_product,lescon    örme usd hs.xls
Evrak No :202501957,evrak,lescon    örme usd hs.xls
6.50$+KDV /JAKAR INTERLOK POLY.,price_product,lescon    örme usd hs.xls
Evrak No :202501956,evrak,lescon    örme usd hs.xls
Evrak No :202501955,evrak,lescon    örme usd hs.xls
Evrak No :202500078,evrak,lescon    örme usd hs.xls
7.50$+KDV /POLY.RAPORLU PIKE ELASTAN,price_product,lescon    örme usd hs.xls
Evrak No :202501977,evrak,lescon    örme usd hs.xls
8.70$+KDV /DOUBLEFACE PAMUK POLY.ELASTAN 36/1,price_product,lescon    örme usd hs.xls
Evrak No :202504803,evrak,lescon    örme usd hs.xls
Evrak No :202502044,evrak,lescon    örme usd hs.xls
Evrak No :202502043,evrak,lescon    örme usd hs.xls
6.80$+KDV /DOUBLEFACE POLY.ELASTAN SARDONLU,price_product,lescon    örme usd hs.xls
Evrak No :202502042,evrak,lescon    örme usd hs.xls
Evrak No :202502041,evrak,lescon    örme usd hs.xls
